file,class,method,variable,usage
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\chrome\CustomTabsURLSpan.java,org.lsposed.manager.util.chrome.CustomTabsURLSpan,"CustomTabsURLSpan/2[org.lsposed.manager.util.chrome.Activity,java.lang.String]",activity,3
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\chrome\CustomTabsURLSpan.java,org.lsposed.manager.util.chrome.CustomTabsURLSpan,onClick/1[org.lsposed.manager.util.chrome.View],activity,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Method,equals/1[java.lang.Object],name,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Method,equals/1[java.lang.Object],isExact,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Method,equals/1[java.lang.Object],clazz,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Method,equals/1[java.lang.Object],parameters,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Method,"Method/4[java.lang.Class<?>,java.lang.String,java.lang.Class<?>[],boolean]",name,4
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Method,"Method/4[java.lang.Class<?>,java.lang.String,java.lang.Class<?>[],boolean]",isExact,4
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Method,"Method/4[java.lang.Class<?>,java.lang.String,java.lang.Class<?>[],boolean]",clazz,4
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Method,"Method/4[java.lang.Class<?>,java.lang.String,java.lang.Class<?>[],boolean]",parameters,4
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Method,toString/0,name,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Method,toString/0,isExact,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Method,toString/0,clazz,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Method,toString/0,parameters,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\NoSniFactory.java,org.lsposed.manager.util.NoSniFactory,"createSocket/4[java.net.Socket,java.lang.String,int,boolean]",defaultFactory,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\NoSniFactory.java,org.lsposed.manager.util.NoSniFactory,"createSocket/2[java.lang.String,int]",defaultFactory,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\NoSniFactory.java,org.lsposed.manager.util.NoSniFactory,getSupportedCipherSuites/0,defaultFactory,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\NoSniFactory.java,org.lsposed.manager.util.NoSniFactory,config/1[java.net.Socket],openSSLSocket,2
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\NoSniFactory.java,org.lsposed.manager.util.NoSniFactory,getDefaultCipherSuites/0,defaultFactory,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\NoSniFactory.java,org.lsposed.manager.util.NoSniFactory,"createSocket/4[java.lang.String,int,java.net.InetAddress,int]",defaultFactory,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\NoSniFactory.java,org.lsposed.manager.util.NoSniFactory,"createSocket/4[java.net.InetAddress,int,java.net.InetAddress,int]",defaultFactory,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\NoSniFactory.java,org.lsposed.manager.util.NoSniFactory,"createSocket/2[java.net.InetAddress,int]",defaultFactory,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\LSPosedContext.java,org.lsposed.lspd.impl.LSPosedContext,getPackageManager/0,mBase,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\LSPosedContext.java,org.lsposed.lspd.impl.LSPosedContext,"loadModule/2[android.app.ActivityThread,java.lang.Module]",appDir,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\LSPosedContext.java,org.lsposed.lspd.impl.LSPosedContext,"loadModule/2[android.app.ActivityThread,java.lang.Module]",TAG,9
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\LSPosedContext.java,org.lsposed.lspd.impl.LSPosedContext,"loadModule/2[android.app.ActivityThread,java.lang.Module]",modules,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\LSPosedContext.java,org.lsposed.lspd.impl.LSPosedContext,startService/1[android.content.Intent],service,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\LSPosedContext.java,org.lsposed.lspd.impl.LSPosedContext,getFileStreamPath/1[java.lang.String],REMOTE_PREFIX,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\LSPosedContext.java,org.lsposed.lspd.impl.LSPosedContext,getFileStreamPath/1[java.lang.String],mBase,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\LSPosedContext.java,org.lsposed.lspd.impl.LSPosedContext,getSystemServiceName/1[java.lang.Class<?>],mBase,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\LSPosedContext.java,org.lsposed.lspd.impl.LSPosedContext,getClassLoader/0,mBase,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\LSPosedContext.java,org.lsposed.lspd.impl.LSPosedContext,getCacheDir/0,mBase,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\LSPosedContext.java,org.lsposed.lspd.impl.LSPosedContext,fileList/0,mBase,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\LSPosedContext.java,org.lsposed.lspd.impl.LSPosedContext,fileList/0,REMOTE_PREFIX,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\LSPosedContext.java,org.lsposed.lspd.impl.LSPosedContext,fileList/0,service,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\LSPosedContext.java,org.lsposed.lspd.impl.LSPosedContext,"moveDatabaseFrom/2[android.content.Context,java.lang.String]",REMOTE_PREFIX,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\LSPosedContext.java,org.lsposed.lspd.impl.LSPosedContext,"moveDatabaseFrom/2[android.content.Context,java.lang.String]",mBase,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\LSPosedContext.java,org.lsposed.lspd.impl.LSPosedContext,getPackageCodePath/0,mApkPath,1
